cell,NotSignif,Signif,Proportion
A375,10833,688,0.06350964645066003
A549,11217,657,0.05857181064455737
AGS,288,15,0.052083333333333336
ASC,2358,128,0.0542832909245123
BJAB,129,7,0.05426356589147287
BT20,144,4,0.027777777777777776
CD34,201,8,0.03980099502487562
H1299,295,12,0.04067796610169491
HA1E,6369,425,0.0667294708745486
HAP1,88,2,0.022727272727272728
HBL1,135,1,0.007407407407407408
HCC515,5391,370,0.06863290669634577
HCT116,315,12,0.0380952380952381
HEK293,1257,66,0.05250596658711217
HEK293T,2,0,0
HELA,1555,130,0.08360128617363344
HEPG2,4971,269,0.05411386039026353
HL60,60,1,0.016666666666666666
HME1,112,4,0.03571428571428571
HPTEC,51,5,0.09803921568627451
HS578T,192,6,0.03125
HT29,9891,524,0.0529774542513396
HUH7,705,27,0.03829787234042553
HUVEC,620,37,0.05967741935483871
JURKAT,1140,42,0.03684210526315789
K562,131,5,0.03816793893129771
KMS34,131,5,0.03816793893129771
LNCAP,59,0,0
MCF10A,1665,107,0.06426426426426426
MCF7,11044,547,0.04952915610286128
MDAMB231,1104,80,0.07246376811594203
MINO,97,3,0.030927835051546393
NALM6,135,1,0.007407407407407408
NCIH2073,315,14,0.044444444444444446
NCIH508,255,5,0.0196078431372549
NCIH596,295,15,0.05084745762711865
NEU,1905,93,0.048818897637795275
NKDBA,215,12,0.05581395348837209
NOMO1,248,8,0.03225806451612903
NPC,3467,161,0.046437842515142776
OCILY10,90,2,0.022222222222222223
OCILY19,131,5,0.03816793893129771
OCILY3,131,5,0.03816793893129771
P1A82,79,4,0.05063291139240506
PC3,11264,591,0.05246803977272727
PHH,1602,60,0.03745318352059925
SHSY5Y,164,5,0.03048780487804878
SKB,2006,117,0.058325024925224324
SKBR3,195,7,0.035897435897435895
SKL,159,10,0.06289308176100629
SKMEL5,128,8,0.0625
SW480,270,10,0.037037037037037035
THP1,1333,43,0.03225806451612903
TMD8,130,6,0.046153846153846156
U2OS,13635,2712,0.1988998899889989
U937,327,14,0.04281345565749235
VCAP,14765,875,0.05926176769387064
YAPC,1616,80,0.04950495049504951
