cell,NotSignif,Signif,Proportion
A375,10128,1393,0.1375394944707741
A549,10600,1274,0.12018867924528302
AGS,275,28,0.10181818181818182
ASC,2137,349,0.16331305568554047
BJAB,128,8,0.0625
BT20,138,10,0.07246376811594203
CD34,191,18,0.09424083769633508
H1299,278,29,0.10431654676258993
HA1E,5928,866,0.1460863697705803
HAP1,86,4,0.046511627906976744
HBL1,131,5,0.03816793893129771
HCC515,5051,710,0.14056622450999803
HCT116,299,28,0.09364548494983277
HEK293,1201,122,0.1015820149875104
HEK293T,2,0,0
HELA,1460,225,0.1541095890410959
HEPG2,4616,624,0.13518197573656845
HL60,51,10,0.19607843137254902
HME1,108,8,0.07407407407407407
HPTEC,48,8,0.16666666666666666
HS578T,183,15,0.08196721311475409
HT29,9202,1213,0.13181916974570745
HUH7,667,65,0.09745127436281859
HUVEC,580,77,0.13275862068965516
JURKAT,1099,83,0.07552320291173795
K562,130,6,0.046153846153846156
KMS34,127,9,0.07086614173228346
LNCAP,57,2,0.03508771929824561
MCF10A,1540,232,0.15064935064935064
MCF7,10370,1221,0.11774349083895853
MDAMB231,1057,127,0.12015137180700095
MINO,96,4,0.041666666666666664
NALM6,129,7,0.05426356589147287
NCIH2073,303,26,0.0858085808580858
NCIH508,240,20,0.08333333333333333
NCIH596,289,21,0.0726643598615917
NEU,1746,252,0.14432989690721648
NKDBA,200,27,0.135
NOMO1,236,20,0.0847457627118644
NPC,3145,483,0.153577106518283
OCILY10,83,9,0.10843373493975904
OCILY19,126,10,0.07936507936507936
OCILY3,131,5,0.03816793893129771
P1A82,78,5,0.0641025641025641
PC3,10502,1353,0.12883260331365454
PHH,1434,228,0.1589958158995816
SHSY5Y,148,21,0.14189189189189189
SKB,1816,307,0.16905286343612336
SKBR3,191,11,0.05759162303664921
SKL,154,15,0.09740259740259741
SKMEL5,126,10,0.07936507936507936
SW480,264,16,0.06060606060606061
THP1,1273,103,0.08091123330714847
TMD8,131,5,0.03816793893129771
U2OS,12705,3642,0.2866587957497048
U937,313,28,0.08945686900958466
VCAP,13580,2060,0.15169366715758467
YAPC,1514,182,0.1202113606340819
