id,type
HUVEC,cell
quinine,drug
nortriptyline,drug
levothyroxine,drug
donitriptan,drug
capecitabine,drug
clofibric-acid,drug
tranylcypromine,drug
gemifloxacin,drug
PF-04620110,drug
MLN-8054,drug
cabergoline,drug
lisinopril,drug
rosuvastatin,drug
bimatoprost,drug
iniparib,drug
acenocoumarol,drug
diazoxide,drug
MLN-4924,drug
ABCB1,gene
CYP2D6,gene
GP9,gene
KCNB2,gene
KCNN4,gene
SLC29A4,gene
ADRA1A,gene
ADRA1B,gene
ADRA1D,gene
ADRA2B,gene
ADRA2C,gene
ADRB1,gene
ADRB2,gene
ADRB3,gene
CHRM1,gene
CHRM4,gene
CHRM5,gene
HRH1,gene
HTR6,gene
KCNJ10,gene
PGRMC1,gene
PIK3CD,gene
SIGMAR1,gene
SLC6A2,gene
SLC6A4,gene
THRA,gene
THRB,gene
HTR1E,gene
HTR1F,gene
HTR5A,gene
CES2,gene
CES5A,gene
DPYD,gene
TYMP,gene
TYMS,gene
PPARA,gene
BDNF,gene
CYP2A6,gene
CYP2C9,gene
CYP2E1,gene
CYP46A1,gene
KDM1A,gene
MAOA,gene
MAOB,gene
TOP2A,gene
DGAT1,gene
AURKA,gene
DRD1,gene
DRD3,gene
DRD4,gene
HTR1B,gene
HTR1D,gene
HTR2B,gene
HTR7,gene
PRL,gene
ACE,gene
ACE2,gene
AGT,gene
ATP6AP2,gene
APOB,gene
CRP,gene
HMGCR,gene
SLCO1B1,gene
AKR1C3,gene
PTGER1,gene
PTGER3,gene
PTGFR,gene
PTGIR,gene
PARP1,gene
RP11-196G11.1,gene
VKORC1,gene
ABCC8,gene
ATP1A1,gene
CA1,gene
KCNJ11,gene
KCNMA1,gene
SLC12A3,gene
NAE1,gene
UBA3,gene
